timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610051558549356,2.483195,137.4904,8.87318,9.220493,0.7273812,-50.86523,-8.545713,8.577488,-11.42364,-92.43394,-6.849138,13.28208,-8.270335,72.24681,5.633723,9.981257,61.76932,168.3129,6.26646,61.70489,61.22655,-140.3397,-21.73534,61.35763,1.865571,-36.88203,-0.2387883,1.880535,3.173958,-99.29509,-11.26525,11.69575,14.4445,80.91994,-13.02979,19.39408,14.85437,-79.47983,9.734453,17.69261,0.5573595,0.7965268,3.955794,0.4128245,0.7923065,3.955794,0.6033168,0.4996698,3.943726,0.3711232,0.5177197,3.953235,0.6161446,0.1155416,4.005659,0.3514522,0.1410147,4.0044,0.4896219,1.07006,3.98836,0.640067,1.255287,3.979865,0.699394,0.9933245,3.969286,0.2815077,1.00729,3.970911,0,0,
201610051558549665,2.58761,140.2637,9.039472,9.40034,0.6900647,-48.91786,-8.481237,8.509969,-11.55544,-93.06947,-7.019672,13.47807,-8.195968,72.06434,5.603785,9.90099,62.05076,169.4165,6.172344,61.98426,61.63631,-142.4607,-19.05202,61.71786,1.868463,-38.78004,-0.2379137,1.883276,3.158407,-98.78132,-11.31355,11.73778,14.49316,82.20848,-13.41965,19.68294,14.82211,-79.99532,9.911715,17.76275,0.5576657,0.7963796,3.955831,0.413035,0.7922028,3.955831,0.6040128,0.5026234,3.943301,0.3715199,0.5170861,3.953459,0.616841,0.1155864,4.005925,0.3519133,0.1392669,4.004541,0.4899548,1.069947,3.988394,0.6404399,1.255151,3.97947,0.7001204,0.9926397,3.968995,0.2816659,1.007335,3.970954,0,0,
201610051558550005,1.943012,139.2573,8.782311,9.087247,0.6467946,-45.9352,-8.411674,8.437059,-10.63591,-87.51914,-6.621654,12.49192,-8.347323,71.67052,5.443463,9.947464,61.89598,168.7702,6.178441,61.81892,61.80342,-144.5843,-15.80564,61.84179,1.865828,-41.58001,-0.2347572,1.880276,3.127623,-98.12263,-11.34994,11.76446,14.55338,83.41202,-13.74938,19.94018,14.6608,-80.95352,10.20194,17.79868,0.5580494,0.7963424,3.955858,0.4133164,0.7921178,3.955858,0.6043442,0.4909977,3.947099,0.3720216,0.5166206,3.953681,0.6175683,0.1155982,4.006116,0.3517337,0.1401609,4.005938,0.4903733,1.069849,3.988433,0.6409421,1.255031,3.979169,0.7009112,0.9922199,3.968933,0.2818931,1.007275,3.970981,0,0,
201610051558550526,1.925748,141.2514,8.768559,9.055147,0.6274725,-44.12378,-8.356902,8.380504,-10.61667,-87.13023,-6.513365,12.41707,-8.590111,71.97163,5.362068,10.1112,62.19167,169.875,5.958251,62.10509,62.29985,-146.3444,-13.95905,62.28159,1.862164,-43.04162,-0.2286303,1.875934,3.112036,-97.59673,-11.39819,11.80629,14.71244,84.88673,-14.02651,20.22995,14.65416,-80.41096,10.08961,17.72874,0.557302,0.7962692,3.956012,0.4125275,0.7919961,3.956012,0.6034066,0.4915757,3.947282,0.3714197,0.5162049,3.953918,0.6172704,0.1158272,4.00635,0.350908,0.1406929,4.007916,0.489639,1.069709,3.988581,0.6409692,1.255021,3.978901,0.7007829,0.9904317,3.968933,0.2809464,1.007248,3.971009,0,0,
201610051558550696,1.990537,137.4169,8.767118,9.052769,0.6196428,-49.53216,-8.373434,8.396232,-10.70895,-87.60032,-6.510223,12.4938,-8.747127,71.84097,5.296287,10.21067,62.24717,169.2937,5.339695,62.16317,63.32082,-144.8212,-16.63973,63.31216,1.860276,-38.99458,-0.2264714,1.873822,3.123912,-97.87013,-11.39428,11.80584,14.83563,85.78901,-14.13652,20.38559,14.61248,-80.67565,10.15948,17.73308,0.5577019,0.7963853,3.955702,0.41301,0.7918611,3.955702,0.6037601,0.4925747,3.946607,0.3718328,0.5158976,3.953704,0.6177419,0.1163378,4.005985,0.3509741,0.1430124,4.008516,0.4900161,1.069631,3.988195,0.6416343,1.255076,3.978289,0.7014322,0.9893523,3.96876,0.2812966,1.006845,3.970498,0,0,
201610051558551006,1.627327,132.1056,8.447605,8.677157,0.6054145,-52.96807,-8.373203,8.394685,-10.28312,-84.11864,-6.018892,11.88827,-8.890319,71.93954,5.26629,10.31535,62.14914,168.6451,4.592349,62.06021,62.41966,-146.2857,-14.50578,62.37603,1.859923,-36.21265,-0.2261586,1.873423,3.105062,-97.90052,-11.40326,11.80949,15.16686,85.28144,-13.81551,20.43329,14.65061,-81.1518,10.25671,17.81638,0.5582785,0.7964216,3.955392,0.4136139,0.7917169,3.955392,0.6038425,0.4821859,3.948351,0.3724411,0.5155991,3.953512,0.6185387,0.1165449,4.005702,0.3514827,0.1439406,4.009305,0.4905697,1.069525,3.987824,0.6424898,1.255081,3.977712,0.7020572,0.9890248,3.968598,0.2818208,1.006651,3.970092,0,0,
201610051558551356,1.909041,132.972,8.592193,8.875694,0.5462774,-53.82568,-8.369445,8.387035,-10.6855,-86.12747,-6.195942,12.31923,-9.017732,71.21556,5.141257,10.36174,64.83408,98.16356,-2.065213,64.89154,61.2443,-148.9386,-10.36683,61.2157,1.860312,-35.29851,-0.2255823,1.873734,3.093151,-97.57902,-11.40263,11.80572,15.36355,85.69798,-13.73934,20.52447,14.94,-80.04972,9.856579,17.86251,0.5609342,0.7965228,3.955087,0.4164124,0.7922964,3.955087,0.6067317,0.4863496,3.946599,0.3750708,0.5152021,3.953573,0.6213057,0.1172068,4.005476,0.3535452,0.1483662,4.009986,0.4933332,1.069749,3.987463,0.6454861,1.25498,3.976839,0.7044363,0.9900154,3.968286,0.2844938,1.006511,3.970008,0,0,
201610051558551662,2.128868,131.9602,8.698529,9.021222,0.4843359,-56.29565,-8.396089,8.409923,-11.02365,-87.75357,-6.33449,12.67674,-8.999101,70.19584,5.045221,10.29439,64.93181,106.6861,-1.56445,64.97352,60.76815,-148.6812,-9.487392,60.69545,1.862142,-33.14742,-0.2268215,1.875698,3.002831,-97.20815,-11.39552,11.77664,15.40418,85.91183,-13.61959,20.47103,15.17677,-80.49735,9.817028,18.03635,0.5645103,0.7967018,3.954323,0.4200836,0.7927019,3.954323,0.6104659,0.4899827,3.9447,0.3784882,0.5147787,3.953168,0.6249715,0.1178462,4.004961,0.3563981,0.151727,4.009357,0.4969572,1.070013,3.986665,0.6495726,1.255009,3.975611,0.7076847,0.9914817,3.967457,0.288112,1.006262,3.969629,0,0,
201610051558552012,2.361598,130.6759,8.793522,9.162374,0.413039,-59.04366,-8.439466,8.449365,-11.40525,-89.72758,-6.507411,13.08907,-8.960177,69.10259,4.96233,10.21607,64.53455,114.5086,-1.186724,64.56558,61.85707,-147.2079,-11.20664,61.74052,1.868782,-30.66962,-0.2262106,1.882223,2.934751,-96.96786,-11.41396,11.77766,15.49757,86.11462,-13.47258,20.44168,15.33053,-80.95985,9.841236,18.17343,0.5677122,0.7968685,3.95344,0.4233799,0.7929708,3.95344,0.6136662,0.4942254,3.942649,0.3814906,0.5144249,3.952672,0.6278034,0.1188595,4.004537,0.3588078,0.1546617,4.008611,0.500191,1.070301,3.985766,0.6532355,1.255029,3.974326,0.7105379,0.9927993,3.966646,0.2912372,1.006289,3.968999,0,0,
201610051558552332,2.492548,129.465,8.871481,9.258847,0.3645544,-61.22441,-8.460025,8.467107,-11.67181,-90.82311,-6.613295,13.36993,-8.819592,68.59184,4.995777,10.11258,64.14545,121.673,-0.6988585,64.16373,61.78134,-145.9628,-12.54068,61.69624,1.869216,-28.76217,-0.2258673,1.882621,2.881781,-96.6936,-11.41376,11.76441,15.7006,87.01965,-13.47671,20.59042,15.44587,-81.32604,9.849587,18.27051,0.5686467,0.797042,3.952917,0.424361,0.7931346,3.952917,0.6146242,0.4974613,3.941514,0.3824206,0.5149167,3.952446,0.6286821,0.1198678,4.00479,0.3597118,0.1529453,4.008115,0.5011497,1.070558,3.985181,0.6545134,1.254998,3.973495,0.7117791,0.990363,3.966428,0.2921383,1.006308,3.968596,0,0,
201610051558552660,2.623076,125.7788,8.953794,9.360868,0.3757021,-66.1099,-8.475188,8.48252,-11.85791,-91.82827,-6.750685,13.59698,-8.767149,68.39409,4.990175,10.06253,63.68444,127.227,0.8317541,63.70132,61.95466,-144.9258,-13.71946,61.88026,1.863824,-24.78209,-0.225217,1.877195,2.837246,-96.77945,-11.40765,11.74749,15.81257,88.10571,-13.7007,20.81243,15.44797,-81.81602,9.896773,18.2942,0.5656683,0.7971919,3.95337,0.4214679,0.7937195,3.95337,0.6117892,0.5004237,3.941399,0.3795164,0.5154774,3.952921,0.625681,0.1199658,4.005631,0.3566252,0.1511696,4.008588,0.4981093,1.07087,3.985518,0.6515852,1.255036,3.973834,0.7092488,0.9894674,3.967241,0.2891287,1.006315,3.968844,0,0,
201610051558553043,2.716399,120.3542,9.006491,9.425184,0.4080055,-72.67764,-8.52805,8.537072,-11.97522,-92.58215,-6.86447,13.75361,-8.644885,68.23787,5.036005,9.981528,63.20208,132.8685,1.598692,63.20978,63.74553,-144.4797,-15.43482,63.62568,1.858767,-19.30943,-0.2170158,1.871289,2.809083,-97.01696,-11.38693,11.72042,15.92113,89.16436,-13.90465,21.02015,15.40879,-82.22722,9.933505,18.27849,0.5625578,0.7969497,3.953913,0.4184058,0.7940082,3.953913,0.60873,0.5028053,3.941573,0.376345,0.5160663,3.95337,0.6224625,0.1199995,4.006427,0.3533997,0.1487841,4.00846,0.4948674,1.071118,3.98596,0.6484116,1.255146,3.974218,0.7064562,0.9897931,3.968298,0.2859629,1.0061,3.969106,0,0,
