timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610052007314338,8.408819,-106.9677,3.674035,9.297543,5.484445,-97.82734,-1.097043,5.179278,-10.64346,-23.93292,-2.880231,11.04151,-3.797528,-198.9039,8.034831,8.780362,32.49084,-88.94135,-38.51777,48.06472,36.68948,137.0681,-6.832936,49.95666,1.827339,-15.13829,-0.09397358,1.845055,-5.535322,-42.16426,-15.18634,15.87732,23.77543,98.80067,-0.6411504,23.47966,23.07166,-89.14877,9.406253,24.37722,0.2646925,0.8273585,4.003875,0.1294851,0.8287156,4.003875,0.2821116,0.4413243,3.955199,0.1097202,0.4528312,3.980291,0.2791841,0.1030219,3.978812,0.1407109,0.1210819,3.979948,0.2056103,1.099423,4.029588,0.3576081,1.294035,4.016551,0.3981181,1.060988,4.050949,-0.02005492,1.075166,4.062637,0,0,
201610052007314658,8.824909,-117.2428,3.792656,9.730999,4.816911,-96.83471,-1.63661,4.926887,-11.19485,19.51977,-3.678997,11.85121,-3.312506,-204.5734,8.10991,8.54503,28.56038,-77.52699,-38.44122,45.20521,36.5659,149.3834,-18.73798,47.65113,1.905704,-14.91173,-0.04657909,1.919565,-5.352307,-45.32355,-15.60209,16.23045,23.11897,99.85772,-0.9527439,22.86364,23.01673,-88.90744,9.61921,24.41962,0.2703775,0.8275505,4.001993,0.1363916,0.827889,4.001993,0.2901087,0.446649,3.949774,0.1151727,0.4553096,3.981745,0.2845076,0.105951,3.972961,0.1448036,0.1190804,3.981365,0.2104313,1.099297,4.028629,0.3609683,1.293984,4.016021,0.400474,1.060838,4.051538,-0.01728598,1.075022,4.061457,0,0,
201610052007315004,8.982514,-125.9605,3.819306,9.893496,4.12327,-96.10886,-2.161212,4.668293,-11.6267,58.98287,-4.410518,12.5304,-2.77738,-205.4447,8.122934,8.24977,25.22947,-67.48347,-37.75247,42.27644,37.07964,157.441,-30.94781,46.98804,1.993293,-15.16817,-4.307553E-05,2.00397,-4.726517,-49.53518,-15.51343,16.01567,22.47481,100.7116,-1.119022,22.24857,22.11858,-85.72433,8.78429,23.35255,0.2797014,0.8278577,3.999025,0.1467332,0.8274078,3.999025,0.3012418,0.4520642,3.944516,0.1241462,0.4563146,3.981596,0.2929016,0.1082189,3.967704,0.1522828,0.1152887,3.98048,0.2187531,1.099301,4.026982,0.367999,1.294161,4.014958,0.406332,1.060835,4.051369,-0.008302912,1.07359,4.05751,0,0,
201610052007315305,8.740906,-131.5982,3.5213,9.564482,3.690996,-96.077,-2.533391,4.507935,-11.5603,93.25449,-4.372192,12.43016,-2.60992,-163.1798,7.369915,7.518045,34.91813,-77.06536,-32.24694,48.72501,45.53334,112.4746,-31.8305,51.30017,2.060296,-16.40453,0.02465358,2.067544,-4.501118,-52.09453,-15.30023,15.76669,22.15037,101.4324,-1.099582,21.93402,21.84619,-84.07274,7.752994,22.83965,0.2898779,0.8280227,3.996288,0.1576321,0.8271365,3.996288,0.3107865,0.4519957,3.94189,0.1346157,0.4599386,3.980218,0.3023485,0.1095544,3.964452,0.1569731,0.1176544,3.97929,0.2281607,1.099293,4.025372,0.3764455,1.294302,4.01377,0.4138719,1.060868,4.050898,0.002648217,1.072605,4.055325,0,0,
201610052007315650,8.408903,-134.4578,3.197375,9.147673,3.251061,-94.8772,-2.859051,4.316117,-11.57566,126.4836,-4.214223,12.37029,-2.475431,-123.8978,6.63405,6.834423,32.07357,-73.53233,-33.05148,46.8125,42.36029,130.0941,-20.08957,51.05455,2.102837,-18.37864,0.04630411,2.106898,-4.38663,-53.97448,-15.08785,15.54908,21.78019,101.2442,-0.6360807,21.57449,21.43579,-82.44115,6.847673,22.22817,0.3058774,0.8280818,3.993161,0.174298,0.826874,3.993161,0.3258223,0.4519092,3.939515,0.1510146,0.4641478,3.978572,0.3176976,0.1098212,3.962626,0.1678233,0.1202017,3.978123,0.2435246,1.099284,4.023361,0.390957,1.29466,4.01208,0.4271089,1.061114,4.050143,0.0193686,1.071725,4.053334,0,0,
201610052007315981,7.943699,-138.0629,3.14204,8.705089,2.930551,-92.98479,-3.134427,4.196259,-11.42598,152.5371,-4.605501,12.38598,-2.528464,-137.834,6.475158,6.708155,31.42874,-69.78019,-33.18362,45.50761,40.66832,118.2695,-5.624897,54.10412,2.124887,-21.01051,0.04823033,2.125896,-4.355261,-55.27554,-14.90674,15.3838,21.24298,99.85445,-0.6414883,21.03533,21.18103,-81.26248,6.071921,21.79318,0.3212376,0.828024,3.990474,0.1900256,0.8266834,3.990474,0.3415515,0.4538271,3.939142,0.1664353,0.4683081,3.976854,0.3314248,0.1095448,3.963104,0.181559,0.1197555,3.977692,0.2584342,1.099201,4.021523,0.4056726,1.294811,4.01062,0.4420764,1.061377,4.049235,0.03555346,1.071047,4.051921,0,0,
201610052007316312,7.35157,-137.912,3.024347,8.123149,2.644007,-88.56306,-3.387942,4.094661,-11.12573,176.4981,-4.727492,12.14341,-2.653433,-148.7489,6.529753,6.801039,31.48432,-67.92773,-33.49429,44.82812,38.89989,106.1237,6.701555,56.09594,2.12216,-24.66241,0.06242134,2.120834,-4.393083,-54.79643,-14.55061,15.07915,20.67782,99.14584,-0.7321637,20.48006,21.27737,-81.2644,5.278582,21.71158,0.3291751,0.8278208,3.98842,0.1981215,0.8265118,3.98842,0.3490633,0.4547835,3.940256,0.1739302,0.4718777,3.975565,0.3379613,0.1094238,3.964907,0.1884977,0.1208845,3.977965,0.2660441,1.099097,4.020293,0.4131683,1.294686,4.009918,0.4494378,1.061364,4.049347,0.04499899,1.070689,4.051173,0,0,
201610052007316643,6.738732,-138.291,3.035371,7.587635,2.445704,-83.94124,-3.626747,4.063172,-10.75479,196.0994,-5.029802,11.93731,-2.900257,-156.4969,6.921756,7.24996,30.89265,-64.73223,-33.86762,44.03569,37.57043,93.48833,17.58431,57.56836,2.112803,-28.26193,0.07240054,2.109591,-4.455031,-53.78532,-14.1602,14.75008,21.05845,100.5542,-0.05842966,20.87699,21.42472,-82.11176,4.752559,21.73742,0.3314474,0.8274896,3.986969,0.2005053,0.8263848,3.986969,0.351442,0.4571454,3.94249,0.1755096,0.4747419,3.974463,0.338686,0.1092447,3.967854,0.1916589,0.1214274,3.97887,0.2681537,1.098931,4.0195,0.4159524,1.294118,4.009978,0.4507474,1.060977,4.051236,0.04917955,1.07033,4.050799,0,0,
201610052007316968,6.031784,-136.7843,2.935088,6.913381,2.269874,-78.68954,-3.762567,3.991351,-10.20194,211.6549,-5.024965,11.42128,-3.183169,-162.578,7.438784,7.832225,30.48653,-63.57925,-33.96421,43.30745,36.8471,81.90088,27.12467,58.73441,2.092732,-31.51009,0.08819497,2.088488,-4.645021,-51.43684,-13.78271,14.47971,21.43894,101.9643,0.5510935,21.27306,21.52111,-83.49333,4.511352,21.7741,0.3300622,0.8270392,3.985934,0.1990843,0.8263012,3.985934,0.3490728,0.4579076,3.945895,0.1732899,0.4738077,3.973623,0.3356367,0.1089057,3.971542,0.1920123,0.1204956,3.980262,0.2668089,1.098756,4.018943,0.4156877,1.293461,4.010687,0.4491238,1.060368,4.053079,0.05009386,1.070059,4.050811,0,0,
201610052007317338,5.238633,-133.1684,2.820598,6.16574,2.098054,-72.02489,-3.885405,3.916946,-9.653581,225.1122,-5.092747,10.95056,-3.399347,-168.3501,7.693141,8.158269,30.73215,-63.47441,-32.62336,42.16859,37.01708,71.57947,36.82502,60.71067,2.064993,-35.54325,0.0890258,2.059236,-4.783013,-48.5075,-13.29295,14.09216,21.67219,102.4414,0.6256629,21.49222,21.59227,-84.51328,4.032819,21.74558,0.3152011,0.8264373,3.984878,0.1840542,0.8261815,3.984878,0.3329059,0.4581622,3.949739,0.1572528,0.4722205,3.972621,0.318093,0.1098307,3.976058,0.1767174,0.1182601,3.980978,0.2520155,1.098461,4.018399,0.4015444,1.292774,4.012341,0.4349619,1.059572,4.054375,0.03749342,1.06979,4.05028,0,0,
