timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610051627116130,4.215817,-57.28621,9.74611,10.38086,-0.716091,52.19215,-6.635863,6.267162,-19.46477,-127.7386,-7.664682,20.80524,-13.60517,119.6875,8.081428,15.77499,70.98276,2.382759,11.53981,70.52609,85.48544,-166.0581,-7.145923,85.3672,1.957841,22.907,-0.3176525,1.971507,22.31144,31.75205,-11.82069,23.76908,22.04052,68.72301,-10.97991,24.37453,112.0533,-56.19643,162.6181,114.8886,0.2984352,0.8246475,3.992316,0.1608519,0.8268216,3.992316,0.3491005,0.4986832,3.943199,0.1144055,0.4747619,3.969908,0.3572621,0.1021322,4.019283,0.1166423,0.1834446,4.021785,0.2358481,1.086056,4.044656,0.3961536,1.256788,4.049699,0.4392744,1.016369,4.031178,0.0259521,1.038593,3.963474,0,0,
201610051627116375,4.186476,-56.79374,9.664991,10.30729,-0.7724977,53.72805,-6.641535,6.307983,-19.34542,-126.8008,-7.562375,20.65672,-13.51798,118.5614,7.942502,15.63345,68.55853,44.61697,12.73156,68.22511,85.5567,-181.7499,-7.792443,85.43766,1.933668,22.08525,-0.3100373,1.947997,22.03136,31.69525,-11.23858,23.34494,22.04249,68.2703,-10.24248,24.12985,108.2446,-53.45273,159.4309,111.0402,0.3061807,0.8250237,3.991317,0.1684968,0.8270094,3.991317,0.3568525,0.4987558,3.94285,0.1225411,0.4753463,3.969812,0.3656853,0.0984591,4.019521,0.1244673,0.183111,4.022031,0.2431838,1.086319,4.04319,0.4026441,1.257315,4.047711,0.4463953,1.017026,4.030442,0.03642973,1.04094,3.964732,0,0,
201610051627116630,4.325772,-55.0528,9.507586,10.24716,-0.7613972,56.68668,-6.727067,6.424109,-19.29799,-126.1767,-7.469552,20.57843,-13.33169,117.7848,7.934075,15.47532,66.71042,78.34546,14.99622,66.53387,85.55226,-120.4043,-8.772195,85.43776,1.94708,25.77176,-0.3334936,1.966226,21.84191,37.21244,-10.78958,23.05323,22.25962,69.79581,-10.334,24.3711,105.6705,-53.86349,154.2187,108.4378,0.3169891,0.8254915,3.989533,0.1792653,0.8272634,3.989533,0.3676323,0.4987931,3.941392,0.1336928,0.4757854,3.969255,0.3770014,0.095377,4.018719,0.1359561,0.1823996,4.021607,0.2533177,1.087125,4.040377,0.4119875,1.258074,4.04431,0.4565466,1.0189,4.028571,0.04980093,1.042941,3.965122,0,0,
201610051627116985,4.404831,-53.8401,9.409808,10.20533,-0.7807651,59.27695,-6.785495,6.506137,-19.21143,-125.3259,-7.416947,20.47861,-13.18494,116.9665,7.906157,15.34095,69.64866,115.049,9.374043,69.53609,85.60278,-69.40116,-9.983751,85.48643,1.944457,28.97451,-0.3451851,1.96634,21.91948,41.92522,-10.50215,23.0294,22.04782,70.45802,-9.812711,23.99249,102.6855,-54.15139,149.1476,105.5422,0.3255347,0.8258988,3.987857,0.1877969,0.8274974,3.987857,0.376323,0.4991025,3.94026,0.1426778,0.4765013,3.968792,0.3861895,0.09222534,4.018185,0.1451738,0.1822848,4.021438,0.2612911,1.087844,4.037817,0.4192555,1.258712,4.041309,0.4641908,1.021567,4.027647,0.06081871,1.045251,3.965345,0,0,
201610051627117282,4.502675,-52.96325,9.328424,10.18882,-0.7481682,61.15586,-6.850446,6.602153,-19.12284,-124.8064,-7.388826,20.38664,-13.08927,116.2029,7.878381,15.2481,72.33321,142.8789,4.433913,72.27416,85.61894,-97.35908,-10.87565,85.50652,1.94228,30.17736,-0.3525135,1.966372,21.82102,44.64806,-10.33578,22.93905,21.94831,72.30768,-9.75764,23.88754,99.86665,-52.35604,147.1832,102.7642,0.3321151,0.8262215,3.986852,0.1943482,0.8276544,3.986852,0.3829892,0.4993558,3.939619,0.1494607,0.4771141,3.968599,0.3931222,0.09035729,4.017702,0.1520157,0.1819338,4.021505,0.2674203,1.08843,4.036006,0.4246772,1.259236,4.039023,0.4698469,1.024082,4.02739,0.06850699,1.04746,3.966376,0,0,
201610051627117812,4.608352,-51.922,9.247901,10.17643,-0.7016916,63.17997,-6.921983,6.704716,-19.04039,-124.2314,-7.366304,20.30254,-13.00292,115.4122,7.836021,15.15605,74.66419,169.8926,0.01995468,74.65602,85.64264,-123.4044,-11.68461,85.52962,1.94912,32.96341,-0.3609652,1.975412,21.72894,48.9701,-10.08081,22.81114,21.88074,74.20126,-9.758157,23.83365,96.8429,-50.41689,144.7509,99.75246,0.3380601,0.8265474,3.985835,0.2002629,0.827798,3.985835,0.3890507,0.4997442,3.938987,0.1556306,0.4778153,3.968354,0.3994648,0.0884633,4.017292,0.1581623,0.1819743,4.021485,0.2728665,1.089026,4.034142,0.4291892,1.259978,4.036666,0.4748842,1.02657,4.027103,0.07574963,1.049565,3.967317,0,0,
201610051627118058,4.708145,-50.84285,9.163754,10.1581,-0.6502173,65.22028,-6.997205,6.815262,-18.94578,-123.6208,-7.340192,20.2063,-12.90372,114.8079,7.819082,15.06738,76.84853,196.5359,-4.187388,76.89158,85.65156,-70.85071,-12.45996,85.53822,1.950196,35.70552,-0.3664966,1.978374,21.58389,53.42101,-9.824338,22.64611,21.76579,76.05561,-9.786777,23.75012,93.26848,-48.59246,141.5312,96.2382,0.3442382,0.8268663,3.984854,0.2063879,0.827902,3.984854,0.3953216,0.500217,3.938425,0.1620072,0.4785297,3.968089,0.406027,0.08663695,4.016879,0.1646641,0.1811846,4.021454,0.2785215,1.089578,4.032315,0.4337495,1.260704,4.034245,0.4800308,1.029322,4.026737,0.08308346,1.051346,3.96819,0,0,
201610051627118373,4.811431,-50.14984,9.125902,10.18253,-0.5526297,66.41563,-7.059561,6.914325,-18.82695,-123.3808,-7.385827,20.11476,-12.5958,117.7163,8.279016,15.09567,78.73603,211.3435,-7.64473,78.81434,75.99641,-95.61357,-15.01217,76.83649,1.939367,35.40894,-0.3632433,1.968223,21.32218,54.38728,-9.581005,22.41191,21.66134,77.64055,-9.925261,23.72041,91.7246,-47.42186,140.2701,94.64411,0.3476518,0.8270837,3.984878,0.209816,0.827907,3.984878,0.3989327,0.5006779,3.938656,0.1655611,0.4789943,3.968328,0.4095652,0.08655621,4.016544,0.1714322,0.1706319,4.021697,0.2815957,1.089844,4.031692,0.4359184,1.261141,4.033075,0.4829169,1.031568,4.027104,0.08714254,1.051549,3.969326,0,0,
201610051627118622,4.918341,-49.64513,9.096312,10.21618,-0.394906,66.80247,-7.053492,6.944119,-18.91854,-123.3315,-7.420065,20.21266,-12.66919,116.7197,8.004873,15.01506,80.43494,219.7216,-10.1736,80.53758,77.21572,-116.8902,-14.79951,77.93636,1.933005,34.36507,-0.3516787,1.961087,20.98548,54.7612,-9.524175,22.18899,21.44567,78.22531,-9.96366,23.54869,91.05568,-47.22602,139.6932,93.97074,0.3489835,0.827253,3.985177,0.2111277,0.8278652,3.985177,0.4004196,0.5009747,3.939092,0.1674238,0.4801686,3.96848,0.4107591,0.09921122,4.015471,0.1720786,0.1738353,4.021747,0.2826576,1.089988,4.03139,0.4361774,1.26145,4.03233,0.4837973,1.031572,4.026921,0.08814342,1.051532,3.970486,0,0,
201610051627119032,5.031022,-49.11033,9.061574,10.24784,-0.2457933,67.44485,-7.042084,6.974722,-18.99948,-123.0264,-7.42989,20.29207,-12.76635,115.9741,7.784015,14.9849,82.11092,233.5709,-12.98738,82.24732,78.13995,-139.1886,-14.89125,78.77406,1.914805,34.28122,-0.3397933,1.942319,20.7279,55.69687,-9.195027,21.92007,21.28073,79.05083,-9.859745,23.36666,89.1749,-46.1473,137.6146,92.04258,0.3527517,0.8275715,3.985182,0.2148358,0.8279638,3.985182,0.4043688,0.5013666,3.939338,0.1717939,0.4816211,3.968536,0.4146181,0.1100685,4.014576,0.1756356,0.1769402,4.022041,0.2860893,1.090239,4.030637,0.438723,1.261839,4.031054,0.4866511,1.032842,4.02679,0.09270384,1.052245,3.971531,0,0,
