timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610051557400367,54.48323,47.13502,-57.3344,60.10394,131.3381,26.78746,36.19975,130.4293,-179.9045,-44.3004,162.6509,161.021,-124.1722,33.37302,160.5744,117.1503,-33.90805,143.6963,-48.08095,141.5334,48.27868,-59.00515,74.28316,61.47154,3.409011,-1.314602,-0.143968,4.993863,111.0554,17.16045,-3.881962,111.2761,155.739,121.6147,163.4568,155.6895,11.38373,12.95613,15.21527,15.18568,-2.0503,0.5088251,3.422045,-2.123662,0.4857701,3.422045,-2.149457,0.4314155,3.217331,-2.139827,0.6796613,3.2784,-2.008723,0.430728,3.4583,-2.211392,0.4270285,3.158471,-2.108215,0.6357526,3.474754,-2.010664,0.7552037,3.568046,-1.921079,0.6829753,3.440692,-2.176792,0.8096405,3.31309,5,0,
201610051557400745,52.29438,45.35751,-59.06136,61.25196,137.8392,47.90126,-11.88574,135.8797,-183.6316,-71.42661,169.5676,163.7114,-134.4397,14.68451,161.5875,119.4945,-75.90477,147.2608,-0.06669235,145.2121,52.65929,-61.90189,61.68687,62.98557,3.26244,-2.219417,-0.2395513,4.454391,118.2874,18.15616,-23.92778,114.3811,162.5841,145.0242,106.7458,159.2648,9.812227,11.13504,12.83611,12.9599,-1.448754,0.5006198,3.514817,-1.526411,0.478854,3.514818,-1.570656,0.4249552,3.333607,-1.550796,0.6790697,3.393794,-1.410481,0.4333586,3.54342,-1.636552,0.4264315,3.292288,-1.500871,0.6326909,3.567551,-1.396532,0.7601139,3.643339,-1.333754,0.6767801,3.510744,-1.589622,0.8099121,3.422513,5,0,
201610051557401048,50.6349,39.88902,-58.90808,60.39867,140.6179,54.45926,-46.16309,133.9951,-185.6387,-94.67564,174.1533,165.5213,-140.5961,5.613759,157.6586,118.092,-110.4334,150.2036,41.5274,148.2979,56.18248,-64.27928,52.82686,64.58017,3.53713,-1.186728,-1.167286,4.751616,123.1988,17.399,-42.7734,116.4765,166.5152,164.7736,53.2337,161.9017,8.798871,9.761713,10.47261,11.25256,-1.025645,0.4931347,3.614611,-1.09973,0.4744463,3.614612,-1.164109,0.4177213,3.447546,-1.150897,0.6734779,3.505536,-0.9808374,0.4355886,3.638889,-1.241635,0.4176734,3.418384,-1.065622,0.629887,3.668763,-0.9534107,0.7631617,3.733167,-0.9122145,0.6717129,3.597389,-1.168713,0.8099735,3.534317,2,0,
201610051557401389,49.2254,34.82872,-58.92295,59.78923,143.4682,59.95302,-76.4969,132.4543,-187.3019,-115.3641,178.2393,167.1855,-146.5621,-2.177056,153.9117,117.0155,-141.2936,152.8005,78.65688,151.0361,59.54926,-67.33175,46.35475,66.35252,3.760836,-1.484909,-1.732983,4.827465,128.6938,16.34122,-58.76995,118.1477,170.2399,181.1524,6.373421,164.2252,7.859023,8.306746,8.041737,9.798783,-0.6245033,0.4862403,3.696623,-0.6961042,0.4708436,3.696624,-0.7785557,0.4118254,3.543702,-0.7702582,0.6692104,3.599088,-0.5734172,0.4375177,3.716958,-0.8658905,0.4106902,3.52572,-0.6535342,0.6273744,3.75155,-0.5330799,0.7656388,3.8041,-0.5113459,0.6668802,3.666273,-0.7695899,0.8102359,3.626655,2,0,
201610051557401704,42.57133,52.56279,-61.11993,61.77221,149.1921,84.37155,-105.2201,135.0492,-181.2297,-134.0937,179.5787,166.9973,-154.2257,-7.43833,149.0186,115.5638,-164.1557,154.8031,109.666,153.0397,63.29406,-68.80492,33.07238,67.00629,3.191328,-14.06631,-0.9611888,4.457276,136.5063,23.55636,-75.01752,122.262,163.5226,187.9575,-31.85784,159.3074,6.334387,7.568469,7.943643,8.644755,-0.07298043,0.4852065,3.713728,-0.1568698,0.4683451,3.713728,-0.2435075,0.4076274,3.587868,-0.2493747,0.6671898,3.631562,-0.03392392,0.434054,3.728207,-0.355853,0.409128,3.576151,-0.1074014,0.6256312,3.762644,0.01499894,0.763289,3.792034,0.009960592,0.7006453,3.672241,-0.2434717,0.8082322,3.657804,2,0,
201610051557402073,40.82685,47.76015,-60.06039,58.88463,143.4313,76.97604,-136.0044,131.3401,-181.2944,-75.59716,179.9251,167.3477,-151.0808,-3.273704,152.003,115.1514,-190.0783,153.183,107.9847,151.5218,61.12941,-67.45045,33.72221,64.89509,2.854263,-13.46646,-0.2927961,4.110328,133.119,17.53279,-94.87337,120.5137,144.9776,170.3243,-26.59848,139.086,4.61358,9.595934,10.44159,9.158546,-0.2129361,0.4831187,3.749056,-0.2995238,0.4656,3.749056,-0.3805677,0.4052595,3.616421,-0.3831779,0.6658036,3.654913,-0.1851756,0.4320333,3.756461,-0.4906072,0.4079531,3.595529,-0.2471755,0.6161872,3.80488,-0.1209908,0.7492287,3.821242,-0.1400965,0.7237011,3.729688,-0.3855265,0.8060945,3.685757,2,2,
201610051557402365,39.6265,43.38839,-59.1923,56.18581,138.0128,66.39978,-86.18864,127.9587,-180.6774,-24.45944,178.6428,167.5135,-147.2653,2.566643,156.2813,115.4491,-206.3238,155.4702,126.7006,153.7608,57.83069,-66.07119,37.35951,62.70967,2.758254,-12.13908,0.05235016,3.781398,129.1717,12.85369,-113.6345,118.4599,118.0237,161.9123,-42.17932,123.1579,6.457692,12.08923,11.11862,10.95326,-0.4932379,0.47988,3.716645,-0.5820605,0.4637167,3.716645,-0.6526216,0.4029641,3.573688,-0.6495643,0.6651644,3.613341,-0.4766876,0.4289734,3.719014,-0.7536247,0.4077583,3.545928,-0.5301757,0.6080452,3.780241,-0.4003453,0.7362881,3.790853,-0.4471396,0.7272614,3.724226,-0.6615306,0.8046399,3.643927,2,0,
201610051557402735,42.50526,40.76984,-66.48949,57.53792,132.422,57.87849,-45.07881,123.938,-108.7826,21.35716,109.277,168.5112,-143.1822,7.674359,162.0691,114.9469,-151.5076,155.8806,103.1024,154.198,54.07191,-66.36855,43.39926,61.46721,2.559562,-10.80456,0.3605977,3.365402,124.6999,11.29725,-131.6484,115.6799,63.22858,149.3128,-66.65263,116.3878,9.985576,14.71544,10.84718,14.05909,-0.8309533,0.476258,3.63143,-0.9226437,0.4612319,3.63143,-0.9821768,0.4161871,3.476567,-0.9711111,0.6624186,3.518263,-0.8289886,0.4414249,3.628193,-1.069059,0.4053879,3.441724,-0.873222,0.599497,3.701374,-0.7446145,0.7198014,3.706017,-0.8158153,0.7010123,3.664606,-0.9903899,0.8054246,3.546972,0,0,
201610051557403065,43.11241,40.02404,-69.15086,57.26381,128.2403,53.16747,-6.672863,121.1324,-117.9532,60.6652,118.303,169.0665,-139.6407,8.973103,166.3813,114.9605,-98.24822,154.8303,85.93463,153.3507,49.83128,-65.56014,47.97917,59.73834,2.370594,-8.755266,0.3336712,2.90614,120.2776,11.35279,-75.16669,112.7837,50.55925,91.57086,-41.21159,111.612,10.47069,13.15399,10.24457,14.03355,-1.197155,0.4741028,3.50371,-1.291014,0.4603131,3.50371,-1.336887,0.4196241,3.337208,-1.326975,0.6623137,3.383989,-1.207553,0.4435965,3.496283,-1.413895,0.4049465,3.298175,-1.247471,0.593229,3.578269,-1.121643,0.707239,3.580036,-1.166769,0.717558,3.553437,-1.3447,0.8075451,3.407031,0,0,
201610051557403385,40.22868,44.38722,-63.43687,54.24074,127.0268,51.28196,27.31792,120.9861,-118.8653,93.62561,118.3579,163.5593,-135.1267,12.09316,169.9928,113.876,-54.7294,158.9306,52.3055,154.1454,48.92616,-64.83047,54.91358,60.11568,2.573952,-3.091005,-0.1503061,2.997961,119.9849,18.03923,-26.05666,113.7051,67.21612,41.16627,-9.716503,115.874,10.99621,12.44786,10.61691,14.29158,-1.485078,0.4739482,3.412634,-1.580589,0.4601783,3.412634,-1.614524,0.4003221,3.250059,-1.602888,0.6595525,3.282442,-1.50418,0.4230028,3.415007,-1.683121,0.4024324,3.188887,-1.542634,0.5978349,3.483298,-1.423733,0.6965863,3.491392,-1.457798,0.7381361,3.479748,-1.625521,0.8088014,3.306928,0,0,
201610051557403712,39.89355,44.22662,-63.1185,53.58643,124.3887,43.92254,57.30933,119.3052,-124.4183,122.9772,123.0761,162.8636,-131.9691,17.20053,173.0349,114.0106,-83.48071,158.5147,50.2017,154.1446,46.15876,-64.71886,58.7072,59.12685,-0.08064008,-4.151644,0.6752821,4.466202,113.7575,15.81511,-53.18359,108.796,14.6715,41.59141,-34.69854,112.5896,12.23282,11.78359,9.756391,15.08402,-1.695289,0.4742965,3.367589,-1.792569,0.4616878,3.367589,-1.82038,0.3992236,3.199704,-1.799926,0.6607225,3.23202,-1.723632,0.420538,3.369177,-1.87643,0.4042661,3.131704,-1.75788,0.5976864,3.441103,-1.640342,0.6913827,3.44683,-1.665357,0.7598205,3.451267,-1.829497,0.8126594,3.253109,0,0,
201610051557404052,40.35343,40.91521,-64.54252,52.8878,117.2904,23.79361,74.3156,112.8566,-131.5215,148.7778,130.4683,163.7521,-124.3274,32.91936,110.4255,112.0311,-109.3205,157.9757,44.39634,154.1194,42.42632,-65.21149,63.44183,58.28736,0.05347022,-2.966054,0.5263122,3.937251,109.8258,14.60141,-73.92329,105.9036,30.03844,3.691605,-7.782608,111.7023,12.37135,10.29676,7.469687,14.63874,-1.849746,0.4706375,3.34924,-1.947138,0.4612823,3.34924,-1.973582,0.4023232,3.175405,-1.904605,0.6341287,3.217103,-1.886848,0.4222601,3.348258,-1.985564,0.3839518,3.105478,-1.911801,0.5913374,3.42766,-1.792791,0.6832907,3.428332,-1.810319,0.7754589,3.447435,-1.977602,0.8137212,3.229977,5,0,
201610051557404370,41.15944,39.67184,-67.87251,53.09134,119.7132,6.105902,97.78567,115.2059,-138.5875,169.9342,138.0281,164.7043,-127.1065,47.72099,45.99322,117.4217,-131.5071,157.5798,36.19013,154.24,37.22086,-63.51435,62.17598,54.47728,-0.5090551,0.1176417,-1.006727,4.320878,108.6165,16.60666,-23.13245,105.8552,49.40987,-28.22123,22.7501,117.4202,10.80221,9.331847,6.578708,12.78429,-2.00847,0.4686165,3.301674,-2.103492,0.458899,3.301674,-2.12959,0.4086968,3.121803,-2.045331,0.6392814,3.188514,-2.053237,0.4272079,3.298124,-2.125831,0.3919393,3.069021,-2.07215,0.5841264,3.384592,-1.952636,0.6827598,3.386372,-1.967148,0.7963219,3.41337,-2.130304,0.807726,3.178952,0,0,
201610051557404730,41.81726,39.73701,-72.08913,53.65155,122.0905,-10.30382,118.6629,116.9311,-145.059,189.834,145.0228,165.6959,-129.9394,62.66842,-13.16865,122.6884,-77.6314,155.6301,22.28578,152.7169,32.20897,-63.71767,63.03507,52.22718,-0.4459241,0.9106294,-0.8850643,3.665026,108.1851,17.75056,23.80512,106.4695,60.76974,-51.10678,46.71783,116.9886,8.734267,9.11964,6.413413,11.17326,-2.15627,0.4662807,3.259233,-2.248909,0.4565709,3.259233,-2.274703,0.4146606,3.073538,-2.175224,0.6434382,3.165338,-2.207935,0.4317847,3.253014,-2.255416,0.399027,3.038067,-2.222872,0.5760775,3.346231,-2.102954,0.6694946,3.343943,-2.114366,0.8059088,3.381947,-2.271737,0.8037032,3.134434,0,0,
