timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610052004454536,-5.639628,-109.9007,4.185817,7.711519,-2.942524,146.7221,-2.531399,4.155532,-3.382131,-56.1261,-5.730723,6.555141,-0.5631959,-3.441209,-1.615806,0.2766068,49.52084,73.94154,8.097971,49.74457,17.18661,-116.0796,-32.20887,31.77939,1.886604,112.9112,-0.01884681,1.88756,-12.39008,-86.91998,-12.67441,17.67102,26.03067,97.46707,-1.928315,25.87226,29.85914,-109.0083,7.110135,30.37455,0.1855524,0.9311647,3.757904,0.04650392,0.931942,3.757904,0.2208404,0.514776,3.790505,0.03218146,0.522507,3.773046,0.2146637,0.1648657,3.840831,0.01226821,0.189283,3.788142,0.114407,1.231928,3.797797,0.2686419,1.441508,3.795176,0.3334027,1.13659,3.853132,-0.1064498,1.163723,3.859427,0,0,
201610052004454811,-5.56918,-109.964,4.297166,7.932987,-2.994662,145.1043,-2.479399,4.204975,-3.513887,-55.96553,-5.749427,6.652942,-0.4833476,-8.548082,-1.578624,0.255354,50.48081,26.68169,5.835279,50.70536,18.5194,-110.9638,-31.02,31.73489,1.848282,112.411,-0.03535203,1.84949,-12.58654,-87.73379,-12.63598,17.76396,26.67976,97.74947,-1.784385,26.48345,29.99875,-109.6167,7.00172,30.47838,0.1844806,0.9308723,3.757521,0.0453554,0.9316982,3.757521,0.2204532,0.5154183,3.789998,0.03131533,0.522648,3.773215,0.2149203,0.164995,3.840948,0.01193977,0.1892758,3.788444,0.1133072,1.231742,3.797322,0.2673972,1.441535,3.794218,0.3322506,1.137212,3.851255,-0.1074848,1.161216,3.860182,0,0,
201610052004455201,-5.489218,-109.7826,4.439738,8.185564,-3.056197,143.8073,-2.410025,4.264649,-3.634181,-55.96465,-5.797094,6.770407,-0.3730215,-14.63413,-1.575446,0.2217484,50.62756,-18.28008,4.709433,50.83282,19.84371,-105.5274,-29.76374,31.65122,1.812476,112.401,-0.04937443,1.813883,-12.77191,-87.96931,-12.59227,17.848,27.31122,97.76794,-1.702535,27.07694,29.73585,-109.6568,6.893626,30.19104,0.1842591,0.930548,3.757208,0.04506274,0.9314463,3.757209,0.2211793,0.5157436,3.789621,0.03141356,0.5226908,3.773624,0.2163025,0.1652803,3.841079,0.01248123,0.1892675,3.788942,0.1130769,1.231506,3.796846,0.2669555,1.441537,3.79303,0.3323356,1.137554,3.848969,-0.1071002,1.161513,3.860564,0,0,
201610052004455591,-5.651798,-111.3616,4.423435,8.53068,-3.089273,142.6146,-2.362035,4.319955,-3.155015,-55.13089,-5.84307,6.7,-0.2955402,-19.2135,-1.501681,0.2050226,51.17634,-59.90922,4.776032,51.37146,21.10534,-100.1159,-28.60237,31.6722,1.780532,112.3953,-0.05970999,1.782052,-12.91014,-87.90284,-12.55976,17.90622,28.19022,97.85301,-1.576622,27.90347,29.25552,-109.7993,6.877402,29.71581,0.1853764,0.930246,3.757085,0.04612614,0.9312679,3.757086,0.2228865,0.5048718,3.792597,0.03274482,0.5228302,3.773991,0.2178087,0.1634112,3.841211,0.01458171,0.1896864,3.789406,0.1141769,1.23131,3.796561,0.2678786,1.441591,3.792119,0.3339338,1.138127,3.846829,-0.1054328,1.161741,3.861,0,0,
201610052004455831,-5.878016,-112.4994,4.374808,8.668521,-3.099125,144.8563,-2.28137,4.26571,-2.688353,-53.48587,-5.797478,6.522152,-0.01554603,-26.64525,-1.844995,0.6207972,52.08355,-89.39967,4.094357,52.24994,25.97148,-97.3037,-24.85798,33.58215,1.770133,111.8828,-0.06064613,1.771551,-12.88408,-87.91614,-12.50649,17.82959,28.29326,96.45523,-1.627581,27.96132,28.83816,-111.0184,6.911661,29.32098,0.1902139,0.9301581,3.757407,0.05098692,0.93129,3.757408,0.2280431,0.4953263,3.795794,0.03793518,0.5116976,3.774514,0.2231047,0.1616794,3.841779,0.01845082,0.1833399,3.788058,0.1190047,1.231341,3.797048,0.2726039,1.441759,3.792097,0.3394808,1.141405,3.844005,-0.09997376,1.161726,3.861381,0,0,
201610052004456126,-5.758301,-110.6725,4.62462,8.788142,-3.099735,145.7697,-2.189922,4.233111,-2.89146,-55.91287,-6.186155,6.954181,0.2780627,-34.82552,-2.142642,0.9322438,52.8003,-117.2744,4.421632,52.96814,30.1606,-92.68887,-22.7694,35.15703,1.776055,113.6008,-0.05644101,1.777365,-12.78962,-85.87907,-12.34956,17.64242,28.4354,95.29433,-1.77926,28.07469,28.5841,-111.8994,6.793039,29.05116,0.1907331,0.93006,3.757626,0.05158279,0.9312243,3.757626,0.2303778,0.4962664,3.795285,0.03886564,0.5019522,3.775123,0.2245929,0.1618859,3.841964,0.01837637,0.1778486,3.786951,0.1195828,1.23134,3.797238,0.2731145,1.441948,3.791565,0.3408685,1.144653,3.840995,-0.09887122,1.159054,3.861838,0,0,
201610052004456546,-5.678036,-110.254,4.648684,8.891048,-2.981961,142.2219,-2.25573,4.269566,-2.956006,-55.28822,-6.141059,6.946211,0.3372742,-36.56171,-1.959248,0.8167498,53.23561,-147.8134,4.157173,53.38668,34.70505,-91.64017,-20.65991,36.9295,1.78066,115.8942,-0.05189102,1.781923,-12.71648,-82.97385,-12.20024,17.47838,28.6246,94.13156,-1.99074,28.24199,28.34529,-112.5225,6.676218,28.79465,0.1881429,0.9298736,3.757778,0.04906029,0.9310586,3.757778,0.2282808,0.4909143,3.795985,0.03557058,0.4989982,3.774804,0.223015,0.1621106,3.842118,0.01565814,0.1727404,3.786092,0.1170257,1.231193,3.79716,0.2704393,1.442124,3.790622,0.3394186,1.147023,3.837584,-0.1008651,1.156837,3.862219,0,0,
201610052004456806,-5.486486,-107.5863,4.737149,8.740742,-2.759945,139.4353,-2.346735,4.185575,-3.341161,-56.06746,-6.183309,7.17216,-0.03711814,-27.94334,-1.595989,1.055687,53.83496,-165.4935,3.544503,53.96279,37.68319,-95.13673,-19.85734,38.58395,1.787459,116.4386,-0.04401144,1.788586,-12.52154,-81.26875,-12.08732,17.25207,28.82666,93.24567,-2.06952,28.40999,28.069,-113.5072,6.614353,28.51795,0.1832598,0.9298588,3.758202,0.04425432,0.9310763,3.758202,0.2237537,0.4947225,3.794753,0.03018284,0.5007156,3.773483,0.2188235,0.162268,3.842659,0.01177911,0.171781,3.785927,0.1120702,1.231219,3.797597,0.2656573,1.442089,3.790743,0.3356691,1.148074,3.83593,-0.1052465,1.155435,3.86215,0,0,
201610052004457196,-5.232202,-105.1176,4.886629,8.701738,-2.546697,136.0628,-2.37873,4.112626,-3.689827,-57.28182,-6.287758,7.437137,-0.2068745,-26.93961,-1.593722,1.228582,53.18322,-112.2437,3.718658,53.31033,40.91084,-99.73189,-13.09107,39.44084,1.776383,119.6588,-0.02227798,1.777875,-12.39833,-77.11526,-11.91747,17.03843,28.95206,92.36661,-2.467912,28.5371,28.0026,-114.4112,6.490885,28.42919,0.1759428,0.9296936,3.758742,0.0370244,0.9309543,3.758742,0.217123,0.4980257,3.793696,0.02258934,0.5016453,3.772799,0.2124259,0.1624049,3.843035,0.003466549,0.1664863,3.785742,0.1047913,1.231143,3.797852,0.2584049,1.442104,3.790418,0.329827,1.1509,3.833738,-0.1119874,1.153216,3.86261,0,0,
201610052004457486,-5.399842,-106.0541,4.782,8.720494,-2.419703,135.8114,-2.400772,4.02809,-3.244081,-53.77462,-5.973268,6.97469,-0.4518689,-23.95593,-1.586756,1.441765,52.24453,-61.76789,3.010566,52.34996,50.4164,-104.8443,-8.626961,47.62255,1.770353,121.9247,-0.003002232,1.772057,-12.24309,-73.67837,-11.69997,16.76972,29.07063,91.81722,-2.751824,28.65151,28.14782,-115.6814,6.257926,28.52937,0.1712296,0.9296659,3.759392,0.03239175,0.930992,3.759393,0.2118081,0.492964,3.79656,0.01778538,0.5033781,3.772615,0.2083439,0.1626201,3.843602,-0.001562975,0.1687152,3.786429,0.1001115,1.231187,3.798395,0.2538188,1.442145,3.790808,0.3264371,1.152445,3.833043,-0.116088,1.15043,3.863707,0,0,
