timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201711292200513442,-6.435121,-90.15373,7.827061,9.757875,-6.243934,120.8023,-6.326988,8.816463,-5.137503,-138.1348,-22.8959,23.18688,-3.368943,95.88526,8.313581,8.908867,51.90268,-131.1064,-74.77461,93.35021,105.8095,99.1162,122.0523,130.3878,2.114804,8.913807,0.01901228,2.112893,-7.21615,131.6685,-13.51364,15.21493,27.56536,107.2284,-12.20372,30.00379,28.73734,-103.1964,8.808421,29.77074,0.3162384,0.8478561,3.487069,0.1889702,0.8428636,3.487069,0.361417,0.5398661,3.499907,0.1592268,0.5322866,3.498658,0.3264334,0.372964,3.522825,0.172093,0.2451667,3.526273,0.2515168,1.115025,3.538966,0.3861775,1.267876,3.539422,0.4262365,1.035553,3.547734,0.05723508,1.058056,3.558233,0,0
201711292200513939,-6.366535,-91.03029,7.517435,9.512878,-6.159456,121.7558,-6.027337,8.560765,-5.515736,-130.3311,-20.32923,20.9067,-3.301409,96.0125,8.159244,8.73901,77.15762,-132.9363,-107.139,112.4298,97.72164,105.9016,93.20891,118.0403,2.043892,8.993479,-0.01063467,2.042949,-6.977779,130.6052,-13.49118,15.07005,27.08224,104.9473,-11.38068,29.26443,28.5563,-102.9696,9.038362,29.6632,0.3187113,0.8475775,3.485898,0.1914643,0.8428099,3.485898,0.3617924,0.5393088,3.498752,0.1632819,0.532094,3.497458,0.3303017,0.3526519,3.525695,0.1759343,0.2619966,3.52313,0.2541828,1.114995,3.537548,0.3887753,1.268048,3.53739,0.4285623,1.036177,3.545056,0.06004944,1.058277,3.555331,0,0
201711292200514190,-6.384366,-92.28608,7.180136,9.33178,-6.228455,122.9417,-5.835397,8.494419,-5.787505,-123.8538,-18.28266,19.09793,-3.16683,96.31003,8.120681,8.663296,80.00758,-136.7346,-93.46971,109.4839,92.15979,112.7207,69.86922,108.5025,1.984935,8.930151,-0.03409977,1.984862,-6.972964,130.0807,-13.46847,15.04815,26.58523,102.7217,-10.82065,28.60102,28.3574,-102.8483,9.091007,29.49497,0.326372,0.8474236,3.484375,0.1991447,0.8427188,3.484375,0.3675876,0.538909,3.497163,0.1719657,0.5319566,3.49621,0.3387962,0.3388452,3.526807,0.1847332,0.2748972,3.520275,0.2619454,1.115013,3.536243,0.396363,1.268112,3.535622,0.4361879,1.035896,3.542483,0.06799001,1.058634,3.55363,0,0
201711292200514536,-6.360073,-92.81924,7.005891,9.220529,-6.277549,124.5791,-5.521258,8.34183,-6.152086,-118.3168,-16.46005,17.52304,-3.099097,94.30276,7.791083,8.329013,102.2755,-133.8318,-118.5033,124.8525,86.30332,120.216,47.07173,98.9631,1.927554,8.886863,-0.06180555,1.928603,-6.730866,128.5273,-13.47448,14.93562,26.11917,100.8105,-10.28999,27.97699,27.8503,-101.9882,9.27724,29.07404,0.3306271,0.8472022,3.482877,0.2034112,0.8426506,3.482877,0.3707589,0.5385105,3.495429,0.1779037,0.5317913,3.494945,0.3443114,0.3243955,3.528131,0.1900285,0.287869,3.517634,0.2663276,1.115011,3.534911,0.400619,1.268135,3.533833,0.4404089,1.035558,3.540001,0.07237744,1.059,3.550921,0,0
201711292200514821,-6.38969,-93.37425,6.79991,9.13133,-6.442535,126.5581,-5.341066,8.363194,-6.460805,-113.9132,-15.08713,16.36305,-2.929369,92.53471,7.586802,8.085057,120.0254,-132.1254,-136.7714,136.7547,82.26746,126.5327,29.61373,91.8749,1.882875,8.781488,-0.07881557,1.884568,-6.674371,127.7927,-13.47544,14.91111,25.83417,99.7173,-9.956626,27.59005,27.46721,-101.4287,9.313194,28.72768,0.3386076,0.8470879,3.481033,0.211463,0.842557,3.481034,0.3777453,0.5382453,3.493391,0.1869828,0.5317121,3.493717,0.3529267,0.3147687,3.528352,0.1986988,0.2974134,3.515232,0.2743503,1.115026,3.533435,0.4084781,1.268178,3.531894,0.4482683,1.035242,3.537752,0.08034157,1.05915,3.5489,0,0
201711292200515110,-6.426779,-93.86882,6.649315,9.082297,-6.630342,129.7219,-5.022157,8.334559,-6.880097,-109.6466,-13.89489,15.42439,-2.715131,87.49809,7.020975,7.48278,135.8081,-130.5481,-153.0242,147.2467,78.49862,134.1326,13.98508,85.34818,1.839468,8.674841,-0.09633549,1.84188,-6.622694,127.0605,-13.47178,14.88424,25.68611,99.12401,-9.612747,27.32807,27.13515,-100.9171,9.342283,28.42663,0.3439811,0.8469148,3.479448,0.2169134,0.8424671,3.479448,0.3823974,0.537965,3.491672,0.1942437,0.5316197,3.492892,0.3589538,0.3060345,3.529301,0.2046584,0.3061747,3.513229,0.2797661,1.11501,3.532203,0.4137552,1.268207,3.530236,0.4534678,1.035741,3.536191,0.08569518,1.059362,3.547065,0,0
201711292200515501,-6.463848,-94.66693,6.437067,8.992504,-6.690387,131.8969,-4.825491,8.261309,-7.080295,-104.7175,-12.56383,14.25931,-2.652789,84.48985,6.680839,7.142234,151.0744,-128.681,-169.0695,157.569,74.7374,140.6899,-1.477486,78.8867,1.826476,9.425133,-0.1276976,1.830591,-6.486831,127.6032,-13.48514,14.83157,25.54753,98.54388,-9.183707,27.04808,26.81945,-100.5431,9.377779,28.14244,0.3459507,0.8467237,3.478014,0.2189141,0.8423663,3.478015,0.383341,0.5376906,3.490524,0.1974235,0.5315003,3.491904,0.361633,0.297045,3.530221,0.2070173,0.3149581,3.511455,0.2816554,1.11495,3.53076,0.4154902,1.26831,3.528785,0.4550929,1.035888,3.534936,0.08745529,1.059717,3.54515,0,0
201711292200515862,-6.439929,-94.64233,6.284297,8.897099,-6.721232,133.2276,-4.817064,8.275777,-7.379782,-101.2863,-11.64762,13.52456,-2.666279,83.69275,6.66034,7.128094,164.1067,-126.6167,-181.7059,166.0311,71.84499,145.614,-14.52967,73.65147,1.8155,10.41775,-0.1575485,1.821393,-6.461266,129.1757,-13.52437,14.8541,25.61497,98.01398,-8.578851,26.91444,26.71428,-100.6629,9.408486,28.05635,0.3488328,0.8465555,3.47645,0.2218867,0.8422083,3.47645,0.3857054,0.5374617,3.488955,0.2005957,0.5313725,3.490669,0.3648832,0.2903161,3.53065,0.2100661,0.3220525,3.50983,0.2843846,1.114898,3.529116,0.417955,1.268373,3.527021,0.457528,1.035962,3.53377,0.08997129,1.060013,3.543604,0,0
201711292200516223,-6.390868,-94.26016,6.269575,8.881584,-6.841149,134.8469,-4.813079,8.363801,-8.14514,-105.1837,-14.33925,16.21092,-2.586246,82.83187,6.699786,7.142348,143.7839,-133.1936,-151.0414,146.7641,69.15199,149.9271,-27.1389,68.73304,1.797705,11.19105,-0.1897465,1.805761,-6.440686,130.301,-13.50224,14.82644,25.6358,97.53682,-8.095769,26.77277,26.67677,-99.3418,8.756552,27.85177,0.3578918,0.8463523,3.474228,0.231019,0.8420436,3.474228,0.3949736,0.5372675,3.486462,0.2098239,0.5313089,3.489167,0.3701915,0.3107343,3.526307,0.2193686,0.3286511,3.507885,0.293409,1.114861,3.526932,0.4267251,1.268406,3.524495,0.4663242,1.035901,3.531706,0.09896564,1.060362,3.541655,0,0
201711292200516634,-6.340394,-93.67064,6.296894,8.894446,-7.02914,136.7697,-4.837728,8.52436,-9.069096,-109.3104,-17.29222,19.17972,-2.434662,81.53421,6.730259,7.129434,124.3835,-139.8036,-120.192,128.8673,67.28781,153.8536,-37.39012,65.05598,1.774109,11.76955,-0.2169259,1.784148,-6.473767,131.3601,-13.48501,14.83031,25.79746,97.89305,-7.692015,26.79185,26.63469,-98.11562,8.11737,27.64558,0.3708788,0.8461361,3.471646,0.2440547,0.8418741,3.471646,0.4084661,0.5370919,3.483499,0.2228146,0.5312991,3.487578,0.3791115,0.3306347,3.521862,0.2323614,0.3336664,3.505919,0.3063648,1.114778,3.524462,0.4393659,1.268432,3.521024,0.47908,1.035732,3.529301,0.1118177,1.060613,3.539861,0,0
